id;libelle;date_creation_caisse;date_fermiture;solde;etat;date_heure_modification;date_heure_creation;uti_cree;uti_modifie
1;vaguely;2025-09-01T02:18:42;2025-08-31T10:32:32;27601;CLOTURE;2025-08-31T13:21:05;2025-08-31T21:56:41;8237;24281
2;including;2025-08-31T22:29:43;2025-08-31T15:34:56;13410;EN_CONTROLE;2025-09-01T00:42:33;2025-08-31T21:14:22;13353;30378
3;laparoscope horrible countess;2025-08-31T17:31:27;2025-08-31T15:10:05;6031;EN_CONTROLE;2025-09-01T09:19:09;2025-08-31T21:51:10;5912;27901
4;clear-cut knowledge;2025-08-31T13:29:51;2025-08-31T10:19:25;12764;CLOTURE;2025-09-01T02:24:46;2025-08-31T20:46:25;7184;31379
5;production classic waver;2025-09-01T03:21:58;2025-09-01T01:59:00;20893;CLOTURE;2025-09-01T05:56:00;2025-09-01T01:26:27;7570;11450
6;chainstay;2025-08-31T15:52:09;2025-08-31T19:58:58;21505;OUVERTE;2025-09-01T02:10:06;2025-09-01T04:14:59;2167;7617
7;leafy which;2025-09-01T00:19:40;2025-09-01T03:20:18;14629;OUVERTE;2025-09-01T00:35:42;2025-08-31T15:05:19;14523;19190
8;toot who quicker;2025-09-01T05:40:37;2025-08-31T19:03:24;3993;OUVERTE;2025-09-01T02:47:57;2025-09-01T08:54:40;16764;23339
9;thrifty rightfully;2025-09-01T06:17:12;2025-09-01T05:15:16;11779;CLOTURE;2025-09-01T08:58:46;2025-09-01T00:33:10;13007;21114
10;pish exaggeration quaintly;2025-08-31T10:13:53;2025-08-31T22:28:48;2627;CLOTURE;2025-08-31T20:31:24;2025-08-31T14:29:27;5197;6858
