id;objet;date_demande;motif;date_heure_modification;date_heure_creation;uti_cree;uti_modifie
1;ALIMENTATION_CAISSE;2025-08-31T21:29:53;besides ouch;2025-08-31T17:39:29;2025-08-31T20:04:55;9190;2750
2;REOUVERTURE_CAISSE;2025-08-31T21:42:03;when swagger since;2025-08-31T11:53:04;2025-08-31T18:12:15;21482;6637
3;CREATION_CAISSE;2025-08-31T17:12:39;mean although;2025-08-31T21:46:46;2025-08-31T15:33:08;18853;14891
4;CLOTURE_CAISSE;2025-08-31T16:26:20;brow;2025-08-31T21:54:47;2025-08-31T13:33:44;4133;27975
5;CLOTURE_CAISSE;2025-09-01T02:56:53;since;2025-08-31T23:42:21;2025-08-31T12:03:36;30017;8704
6;CREATION_CAISSE;2025-09-01T00:43:53;white for;2025-08-31T19:00:11;2025-08-31T21:25:54;24717;18364
7;CLOTURE_CAISSE;2025-08-31T20:09:16;perk for lined;2025-09-01T06:09:00;2025-09-01T07:13:44;34;24357
8;REOUVERTURE_CAISSE;2025-09-01T05:18:48;and;2025-09-01T09:55:11;2025-09-01T08:51:54;16472;9742
9;CREATION_CAISSE;2025-08-31T16:07:03;transpire;2025-08-31T15:21:15;2025-09-01T04:03:51;17417;14486
10;ALIMENTATION_CAISSE;2025-08-31T20:01:22;psst after yum;2025-08-31T12:12:25;2025-09-01T04:17:57;7189;13527
