id;libelle;sigle;date_heure_modification;date_heure_creation;uti_cree;uti_modifie
1;eviscerate;where qua;2025-09-01T03:59:44;2025-08-31T19:34:28;22988;15116
2;polished perfectly phew;why;2025-08-31T14:39:16;2025-09-01T09:27:09;5700;29762
3;beneath midst expert;though ew popular;2025-08-31T16:05:09;2025-09-01T00:44:42;2101;28405
4;next;absent after rigidly;2025-08-31T10:48:02;2025-09-01T04:41:38;27912;18913
5;lest blah curiously;cruelly via;2025-08-31T12:00:15;2025-08-31T11:17:34;32480;8351
6;rayon movies;voice glorious;2025-08-31T21:00:28;2025-08-31T10:21:57;2244;6008
7;bouncy helpfully weeder;pertinent cry;2025-08-31T16:32:57;2025-08-31T21:43:54;21301;12870
8;vivacious deliberately;by;2025-09-01T00:52:04;2025-08-31T11:02:44;4314;17860
9;compassionate;whoever;2025-08-31T18:37:11;2025-08-31T19:21:00;1737;17773
10;underestimation throughout;ostracise wherever from;2025-09-01T07:15:21;2025-08-31T22:51:24;838;14664
