id;libelle;date_heure_modification;date_heure_creation;uti_cree;uti_modifie
1;sunny insectarium;2025-09-01T06:07:13;2025-08-31T15:13:38;23598;10915
2;helplessly hark station-wagon;2025-08-31T12:57:54;2025-09-01T02:43:53;11958;13257
3;storage overproduce;2025-09-01T04:08:29;2025-08-31T20:40:41;22432;21102
4;till gah superintend;2025-08-31T17:14:21;2025-09-01T02:42:10;12124;25639
5;famous yuck;2025-08-31T18:42:56;2025-09-01T04:55:06;25306;23925
6;whenever;2025-09-01T03:00:03;2025-08-31T21:25:54;32319;18219
7;sans liberty;2025-08-31T20:49:27;2025-08-31T14:44:24;23565;10076
8;syndicate yippee questioningly;2025-09-01T03:37:53;2025-09-01T04:35:04;30063;32337
9;past or;2025-08-31T20:58:46;2025-09-01T01:22:41;1778;29714
10;actually busily since;2025-09-01T01:02:50;2025-08-31T19:16:07;25786;23574
