id;numero;commentaire;montant;date_operation;date_heure_modification;date_heure_creation;uti_cree;uti_modifie
1;relax origin;testy similar;12683;2025-08-31T15:03:34;2025-09-01T00:00:45;2025-09-01T08:38:52;14063;4163
2;including irk;colorfully;418;2025-08-31T17:58:43;2025-08-31T22:05:10;2025-09-01T01:49:14;26614;8810
3;inasmuch selfishly;reporting lively;31326;2025-08-31T19:09:09;2025-08-31T14:50:45;2025-09-01T02:29:35;759;7504
4;uh-huh woot;oh;22713;2025-09-01T00:35:23;2025-09-01T08:05:46;2025-09-01T04:18:17;2565;23895
5;wetly petal lampoon;wipe;9069;2025-09-01T00:04:43;2025-09-01T08:39:38;2025-09-01T06:56:49;30230;25297
6;miscount motherly hence;verbally immediately with;21165;2025-09-01T04:02:43;2025-08-31T13:31:46;2025-08-31T20:55:10;12801;28878
7;next hence;height ultimately along;22663;2025-09-01T10:02:15;2025-09-01T09:18:37;2025-09-01T07:31:45;16516;10050
8;webbed;clamour;1569;2025-09-01T09:02:48;2025-09-01T00:53:54;2025-09-01T00:28:45;27604;3143
9;wonderfully;anti;15998;2025-09-01T10:00:52;2025-08-31T18:57:11;2025-08-31T22:40:01;5800;14244
10;pussyfoot or lumber;dessert uh-huh oil;7223;2025-09-01T03:04:54;2025-08-31T22:32:21;2025-09-01T08:04:09;22520;12141
