id;libelle;piece;piece_content_type;date_heure_modification;date_heure_creation;uti_cree;uti_modifie
1;hmph lavish;../fake-data/blob/hipster.png;image/png;2025-09-01T00:38:57;2025-09-01T07:27:38;7196;14227
2;instead;../fake-data/blob/hipster.png;image/png;2025-08-31T13:19:30;2025-08-31T11:32:18;3077;1789
3;colorful ew shin;../fake-data/blob/hipster.png;image/png;2025-08-31T14:18:49;2025-09-01T08:45:58;3813;4629
4;repackage lay;../fake-data/blob/hipster.png;image/png;2025-08-31T18:31:52;2025-08-31T17:21:27;25501;8826
5;ultimate fedelini;../fake-data/blob/hipster.png;image/png;2025-09-01T03:23:01;2025-08-31T12:09:13;1929;22093
6;willfully huzzah without;../fake-data/blob/hipster.png;image/png;2025-08-31T23:44:07;2025-09-01T09:10:46;19444;12575
7;intersperse verbally;../fake-data/blob/hipster.png;image/png;2025-08-31T15:01:38;2025-09-01T10:01:53;17538;26197
8;vacant whose ouch;../fake-data/blob/hipster.png;image/png;2025-09-01T07:54:09;2025-08-31T11:37:33;17158;3127
9;diffuse below ferociously;../fake-data/blob/hipster.png;image/png;2025-08-31T15:14:30;2025-09-01T02:33:22;17848;10717
10;round different apud;../fake-data/blob/hipster.png;image/png;2025-08-31T22:33:04;2025-09-01T08:19:35;5656;9294
