id;libelle;description;code;date_heure_modification;date_heure_creation;uti_cree;uti_modifie
1;why pish muzzle;besides astonishing unnaturally;devastate who joyfully;2025-09-01T08:45:53;2025-08-31T13:41:11;3397;12136
2;willfully alarming soggy;pish;disqualify suction cavernous;2025-08-31T14:53:46;2025-09-01T09:24:45;21972;15905
3;without intentional;chance so or;knickers;2025-08-31T18:44:47;2025-08-31T18:08:15;9202;23274
4;loyally political;whoa brr;glorious motionless;2025-09-01T08:54:08;2025-08-31T12:04:08;14557;27585
5;tabby urgently push;tender;integer;2025-09-01T04:15:45;2025-09-01T01:43:26;25009;26654
6;valiantly towards;opossum furthermore alarmed;supreme patroller wherever;2025-09-01T04:11:53;2025-09-01T07:24:24;22850;2040
7;um anti;midst;versus brr;2025-09-01T02:48:35;2025-09-01T09:00:20;1917;4749
8;effort;unlucky barring woot;spear glittering;2025-08-31T15:57:35;2025-08-31T23:43:37;3371;30505
9;adventurously;dissonance for old-fashioned;composed body infantile;2025-08-31T12:31:15;2025-08-31T13:25:58;32135;14763
10;so gadzooks;seeder;huzzah for;2025-08-31T12:55:38;2025-08-31T13:52:07;888;24431
