id;libelle;date_heure_modification;date_heure_creation;uti_cree;uti_modifie
1;ugh brr blindfold;2025-08-31T20:35:59;2025-09-01T01:21:03;31077;28993
2;vacation though;2025-08-31T21:38:19;2025-08-31T14:24:54;6874;12836
3;enchanting acceptance;2025-08-31T19:17:23;2025-08-31T11:32:46;25017;29216
4;snarl helplessly er;2025-09-01T04:43:43;2025-08-31T20:33:39;11116;25675
5;boo bulb;2025-08-31T14:53:56;2025-08-31T16:03:53;13492;24964
6;mockingly once;2025-08-31T22:46:37;2025-09-01T03:25:49;13036;26235
7;engross rear;2025-08-31T12:48:56;2025-08-31T10:13:09;1042;23604
8;detour justly dishonest;2025-08-31T22:16:07;2025-08-31T16:14:52;24042;6430
9;guava;2025-08-31T22:23:05;2025-09-01T05:03:06;15517;14761
10;institutionalise because rough;2025-09-01T08:43:32;2025-09-01T08:34:57;21823;26143
